,Team,Player,ID,RoundPick,RoundNum
49,Dessert Desperadoes,Amon-Ra St. Brown,4374302,2,5
50,3 PP Wine,George Kittle,3040151,3,5
51,Sunday Funday,Clyde Edwards-Helaire,4242214,4,5
52,Devon Allen’s Hurdle crew,Jalen Hurts,4040715,5,5
53,Trash Trash,Elijah Mitchell,4241555,6,5
54,Dakcidental  Thumblers ,Jerry Jeudy,4241463,7,5
55,Hot Chubb Time  Machine 2,Courtland Sutton,3128429,8,5
56,RightInThe McManus,Devin Singletary,4040761,9,5
57,Deshaunorable Discharge,Damien Harris,3925347,10,5
58,Corduroy Patterson,Kyler Murray,3917315,11,5
59,Country Road Take Mahomes ,Kareem Hunt,3059915,12,5
60,Country Road Take Mahomes ,Darren Waller,2576925,1,6
61,Corduroy Patterson,Cordarrelle Patterson,15807,2,6
62,Deshaunorable Discharge,Gabe Davis,4243537,3,6
63,RightInThe McManus,Amari Cooper,2976499,4,6
64,Hot Chubb Time  Machine 2,Darnell Mooney,4040655,5,6
65,Dakcidental  Thumblers ,Dak Prescott,2577417,6,6
66,Trash Trash,Allen Robinson II,16799,7,6
67,Devon Allen’s Hurdle crew,Chris Godwin,3116165,8,6
68,Sunday Funday,Tom Brady,2330,9,6
69,3 PP Wine,Michael Thomas,2976316,10,6
70,Dessert Desperadoes,Bills D/ST,-16002,11,6
71,JTT 4EVR,Dalton Schultz,3117256,12,6
72,JTT 4EVR,Marquise Brown,4241372,1,7
73,Dessert Desperadoes,AJ Dillon,4239934,2,7
74,3 PP Wine,Miles Sanders,4045163,3,7
75,Sunday Funday,JuJu Smith-Schuster,3120348,4,7
76,Devon Allen’s Hurdle crew,T.J. Hockenson,4036133,5,7
77,Trash Trash,Adam Thielen,16460,6,7
78,Dakcidental  Thumblers ,Rashod Bateman,4360939,7,7
79,Hot Chubb Time  Machine 2,Chase Edmonds,3119195,8,7
80,RightInThe McManus,Russell Wilson,14881,9,7
81,Deshaunorable Discharge,Joe Burrow,3915511,10,7
82,Corduroy Patterson,Rhamondre Stevenson,4569173,11,7
83,Country Road Take Mahomes ,Antonio Gibson,4360294,12,7
84,Country Road Take Mahomes ,DeVonta Smith,4241478,1,8
85,Corduroy Patterson,Dallas Goedert,3121023,2,8
86,Deshaunorable Discharge,Zach Ertz,15835,3,8
87,RightInThe McManus,Rashaad Penny,3139925,4,8
88,Hot Chubb Time  Machine 2,Trey Lance,4383351,5,8
89,Dakcidental  Thumblers ,Tony Pollard,3916148,6,8
90,Trash Trash,Aaron Rodgers,8439,7,8
91,Devon Allen’s Hurdle crew,Melvin Gordon III,2576434,8,8
92,Sunday Funday,Hunter Renfrow,3135321,9,8
93,3 PP Wine,Drake London,4426502,10,8
94,Dessert Desperadoes,Christian Kirk,3895856,11,8
95,JTT 4EVR,Buccaneers D/ST,-16027,12,8
96,JTT 4EVR,Dameon Pierce,4360238,1,9
97,Dessert Desperadoes,Pat Freiermuth,4361411,2,9
98,3 PP Wine,Allen Lazard,3128390,3,9
99,Sunday Funday,Patriots D/ST,-16017,4,9
100,Devon Allen’s Hurdle crew,Justin Tucker,15683,5,9
101,Trash Trash,Dawson Knox,3930086,6,9
102,Dakcidental  Thumblers ,Tyler Lockett,2577327,7,9
103,Hot Chubb Time  Machine 2,Brandon Aiyuk,4360438,8,9
104,RightInThe McManus,Ravens D/ST,-16033,9,9
105,Deshaunorable Discharge,Elijah Moore,4372414,10,9
106,Corduroy Patterson,Robert Woods,15880,11,9
107,Country Road Take Mahomes ,Saints D/ST,-16018,12,9
108,Country Road Take Mahomes ,Evan McPherson,4360234,1,10
109,Corduroy Patterson,DJ Chark,3115394,2,10
110,Deshaunorable Discharge,James Robinson,4052042,3,10
111,RightInThe McManus,Matthew Stafford,12483,4,10
112,Hot Chubb Time  Machine 2,Cole Kmet,4258595,5,10
113,Dakcidental  Thumblers ,Garrett Wilson,4569618,6,10
114,Trash Trash,Chase Claypool,4046692,7,10
115,Devon Allen’s Hurdle crew,Chris Olave,4361370,8,10
116,Sunday Funday,Matt Gay,4249087,9,10
117,3 PP Wine,Packers D/ST,-16009,10,10
118,Dessert Desperadoes,James Cook,4379399,11,10
119,JTT 4EVR,Tyler Boyd,3045144,12,10
120,JTT 4EVR,Jarvis Landry,16790,1,11
121,Dessert Desperadoes,Kadarius Toney,4240600,2,11
122,3 PP Wine,DeAndre Hopkins,15795,3,11
123,Sunday Funday,Kenneth Walker III,4567048,4,11
124,Devon Allen’s Hurdle crew,Cowboys D/ST,-16006,5,11
125,Trash Trash,Nyheim Hines,3916430,6,11
126,Dakcidental  Thumblers ,Michael Carter,4240657,7,11
127,Hot Chubb Time  Machine 2,George Pickens,4426354,8,11
128,RightInThe McManus,Skyy Moore,4430191,9,11
129,Deshaunorable Discharge,Daniel Carlson,3051909,10,11
130,Corduroy Patterson,Marquez Valdes-Scantling,3051738,11,11
131,Country Road Take Mahomes ,Jahan Dotson,4361409,12,11
132,Country Road Take Mahomes ,Brian Robinson Jr.,4241474,1,12
133,Corduroy Patterson,49ers D/ST,-16025,2,12
134,Deshaunorable Discharge,J.D. McKissic,2572861,3,12
135,RightInThe McManus,Brandon McManus,16339,4,12
136,Hot Chubb Time  Machine 2,Darrell Henderson Jr.,4039359,5,12
137,Dakcidental  Thumblers ,Hunter Henry,3046439,6,12
138,Trash Trash,Marlon Mack,3139605,7,12
139,Devon Allen’s Hurdle crew,Derek Carr,16757,8,12
140,Sunday Funday,Russell Gage,3115378,9,12
141,3 PP Wine,Harrison Butker,3055899,10,12
142,Dessert Desperadoes,Nick Folk,10621,11,12
143,JTT 4EVR,Tyler Bass,3917232,12,12
144,JTT 4EVR,Jamaal Williams,2980453,1,13
145,Dessert Desperadoes,Jakobi Meyers,3916433,2,13
146,3 PP Wine,Alexander Mattison,4048244,3,13
147,Sunday Funday,Mike Gesicki,3116164,4,13
148,Devon Allen’s Hurdle crew,Rex Burkhead,15971,5,13
149,Trash Trash,DeVante Parker,2576623,6,13
150,Dakcidental  Thumblers ,Colts D/ST,-16011,7,13
151,Hot Chubb Time  Machine 2,Kenneth Gainwell,4371733,8,13
152,RightInThe McManus,Treylon Burks,4567156,9,13
153,Deshaunorable Discharge,Dolphins D/ST,-16015,10,13
154,Corduroy Patterson,Kirk Cousins,14880,11,13
155,Country Road Take Mahomes ,Mac Jones,4241464,12,13
156,Country Road Take Mahomes ,Robbie Anderson,2574808,1,14
157,Corduroy Patterson,Mecole Hardman,4035004,2,14
158,Deshaunorable Discharge,Marvin Jones Jr.,15072,3,14
159,RightInThe McManus,Khalil Herbert,4035886,4,14
160,Hot Chubb Time  Machine 2,Romeo Doubs,4361432,5,14
161,Dakcidental  Thumblers ,Justin Fields,4362887,6,14
162,Trash Trash,Julio Jones,13982,7,14
163,Devon Allen’s Hurdle crew,Noah Fant,4036131,8,14
164,Sunday Funday,Jerick McKinnon,16782,9,14
165,3 PP Wine,David Njoku,3123076,10,14
166,Dessert Desperadoes,Kenny Golladay,2974858,11,14
167,JTT 4EVR,Trevor Lawrence,4360310,12,14
168,JTT 4EVR,Tyler Higbee,2573401,1,15
169,Dessert Desperadoes,Mark Ingram II,13981,2,15
170,3 PP Wine,Jameis Winston,2969939,3,15
171,Sunday Funday,Joshua Palmer,4242433,4,15
172,Devon Allen’s Hurdle crew,Jalen Tolbert,4249417,5,15
173,Trash Trash,Steelers D/ST,-16023,6,15
174,Dakcidental  Thumblers ,Matt Prater,11122,7,15
175,Hot Chubb Time  Machine 2,Ryan Succop,12731,8,15
176,RightInThe McManus,Tua Tagovailoa,4241479,9,15
177,Deshaunorable Discharge,Irv Smith Jr.,4040980,10,15
178,Corduroy Patterson,Graham Gano,12460,11,15
179,Country Road Take Mahomes ,Raheem Mostert,2576414,12,15
180,Country Road Take Mahomes ,Hayden Hurst,3924365,1,16
181,Corduroy Patterson,Commanders D/ST,-16028,2,16
182,Deshaunorable Discharge,Tyler Allgeier,4373626,3,16
183,RightInThe McManus,Isiah Pacheco,4361529,4,16
184,Hot Chubb Time  Machine 2,Broncos D/ST,-16007,5,16
185,Dakcidental  Thumblers ,Nico Collins,4258173,6,16
186,Trash Trash,Greg Joseph,3975763,7,16
187,Devon Allen’s Hurdle crew,Jake Elliott,3050478,8,16
188,Sunday Funday,Matt Ryan,11237,9,16
189,3 PP Wine,Jameson Williams,4426388,10,16
190,Dessert Desperadoes,D'Onta Foreman,3125116,11,16
191,JTT 4EVR,Rondale Moore,4372485,12,16
